Siglas e Definições 323
Sigla	Definição	Ref.	Data	Ações
FQ	Formulário da Qualidade: documento padronizado para o registro de determinado tipo de dado ou informação.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Fruthotec	Centro de Tecnologia de Frutas e Hortaliças	Decreto nº 46.488 de 8 de janeiro de 2002	17/04/2025	   
Função	Conjunto de responsabilidades e atividades efetivamente exercidas pelo ocupante de um cargo, com sua especificidade.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Funcionário Estatutário	Servidor titular em cargo público	www.recursoshumanos.sp.gov.br/	17/04/2025	   
Fundepag	Fundação de Desenvolvimento da Pesquisa do Agronegócio	www.fundepag.br	17/04/2025	   
Fussesp	Fundo Social de Solidariedade do Estado de São Paulo.	http://www.fundosocial.sp.gov.br/	17/04/2025	   
Gastos com pessoal	Gastos com funcionários concursadas ou comissionadas contratadas pelo Estado ou contratadas pela Fundação de Apoio para prestar serviços no Ital. Nos gastos com pessoal contratado pelo Estado é considerado o valor bruto e com pessoal contratado por Fundação de Apoio valor bruto mais encargos, incluindo bolsas de pesquisa em todas as modalidades e de estagiários.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Gerador de resíduo	Unidade técnica geradora de resíduos de qualquer natureza, responsável pela segregação, Identificação e destinação dos resíduos e das respectivas embalagens.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Gesp	Governo do Estado de São Paulo	www.saopaulo.sp.gov.br/	17/04/2025	   
Gestor	Diretor Geral, diretores de Unidades e seus substitutos e assessores.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
GTI	Grupo de Tecnologia da Informação	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
GUM	Guide to the Expression of Uncertainty in Measurement (inglês) Tradução: Guia para a Expressão de Incerteza de Medição	Evaluation of measurement data: Guide to the expression of uncertainty in measurement – GUM 2008. 2008. ISBN: 978-85-86920-13-4	16/12/2025	   
