Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;DG;"Diretor Técnico de Departamento ou Diretor Geral";"Decreto nº 52167 de 1969";2025-04-17;;;;;
ATIVO;"Difusão do conhecimento";"Setor do Sistema DG responsável pelas áreas de eventos, atendimentos fale conosco, ouvidoria, biblioteca Ital e informação tecnológica.";"Decreto nº 66.417, de 30 de dezembro de 2021";2025-04-17;;;;;
ATIVO;Documento;"Informação e o meio no qual ela está contida.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Documento da qualidade";"Documentação que estabelece os procedimentos do SGQ.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;DOE;"Diário Oficial do Estado";https://www.imprensaoficial.com.br/;2025-04-17;;;;;
ATIVO;DPME;"Departamento de Perícias Médicas do Estado de São Paulo";www.dpme.saude.sp.gov.br;2025-04-17;;;;;
ATIVO;DT;"Diretor Técnico de Divisão (Diretor de Unidade)";"Estabelecido internamente  pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;EAIP;"Escritório de Apoio Institucional ao Pesquisador";http://www.fapesp.br/eaip;2025-04-17;;;;;
ATIVO;EEB;"Empréstimo entre Bibliotecas";www.iqsc.usp.br/eeb/;2025-04-17;;;;;
ATIVO;Eficácia;"Extensão na qual atividades planejadas são realizadas e resultados planejados são alcançados.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;EFP;"Estatuto dos Funcionários Públicos Civis do Estado.";"Lei nº 10.261, de 28 de outubro de 1968";2025-04-17;;;;;
ATIVO;Eime;"Equipamento passível de calibração e/ou verificação, que tenha efeito significativo sobre o resultado obtido em ensaios/análises, projetos e demais processos de realização do produto.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Embalagens contaminadas com produtos químicos";"São consideradas embalagens contaminadas os recipientes que contenham produtos químicos, que possam ser agressivos à saúde e ao meio ambiente. Exemplos: embalagens de vidro, plásticas, metálicas ou papel; sacos plásticos e de papel; bombonas plásticas; barricas de papelão; tambores (metálicos e não-metálicos); entre outras. As embalagens que, por qualquer motivo, não puderem ser descontaminadas deverão ser classificadas como resíduos perigosos.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Embrapa;"Empresa Brasileira de Pesquisa Agropecuária.";www.embrapa.br;2025-04-17;;;;;
ATIVO;EPC;"Equipamento de Proteção Coletiva";"NR 06 - Norma Regulamentadora do Trabalho";2025-04-17;;;;;
ATIVO;EPI;"Equipamento de Proteção Individual";"NR 06 - Norma Regulamentadora do Trabalho";2025-04-17;;;;;
