ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
FQ-08.27	Termo de confidencialidade externo		FQ	RA	2	11/07/25	-	Intranet RA-25 RA-56	   
FQ-08.27	Agreement External		FQ	RA	2	11/07/25	-	Intranet RA-25 RA-56	   
FQ-08.28	Análise crítica de indicadores		FQ	RA	3	02/01/24	-	Intranet RA-25 RA-56	   
FQ-08.29	Pesquisa de satisfação de alunos pós-graduação		FQ	RA	0	18/05/15	-	Intranet RA-25 RA-56	   
FQ-08.30	Pesquisa de satisfação de cliente externo - Difusão do conhecimento		FQ	RA	2	28/06/22	-	Intranet RA-25 RA-56	   
FQ-08.31	Controle de Melhorias		FQ	RA	2	12/06/26	-	Intranet RA-25 RA-56	   
FQ-08.32	Relatório de satisfação dos alunos - Pós Graduação Ital		FQ	RA	1	20/10/23	-	Intranet RA-25 RA-56	   
FQ-08.33	Indicadores do sistema de gestão da qualidade		FQ	RA	4	05/06/24	-	Intranet RA-25 RA-56	   
FQ-08.34	Resultados Financeiros - Índices de sustentabilidade financeira (arrecadação/despesa FA)		FQ	RA	2	05/06/24	-	Intranet RA-25 RA-56	   
FQ-08.35	Monitoramento de ocorrências - Fundação de apoio		FQ	RA	5	02/01/24	-	Intranet RA-25 RA-56	   
FQ-08.36	Registro de satisfação dos estagiários		FQ	RA	2	02/01/23	-	Intranet RA-25 RA-56	   
FQ-08.38	Mapeamento para auditoria interna		FQ	RA	0	25/01/21	-	Intranet RA-25 RA-56	   
FQ-08.39	Controle de eventos e treinamentos/cursos fechados		FQ	RA	0	02/08/21	-	Intranet RA-25 RA-56	   
FQ-08.40	Controle de qualificação do corpo técnico (TNS e TNSE)		FQ	RA	0	02/08/21	-	Intranet RA-25 RA-56	   
FQ-08.41	Controle de recebimentos e despesas via FED		FQ	RA	0	08/07/22	-	Intranet RA-25 RA-56	   
FQ-08.42	Controle de transferências entre Unidades		FQ	RA	0	08/07/22	-	Intranet RA-25 RA-56	   
FQ-08.43	Controle de auditoria de 2ª parte		FQ	RA	0	18/07/23	-	Intranet RA-25 RA-56	   
FQ-08.44	Monitoramento de sustentabilidade Pós-Graduação Ital		FQ	RA	1	19/09/24	-	Intranet RA-25 RA-56	   
IT-04.02.01	Elaboração de documentos do SGQ		IT	RA	24	23/02/26	23/02/29	Intranet RA-110	   
IT-05.01.01	Reunião de análise crítica		IT	RA	22	11/12/24	11/12/27	Intranet RA-110	   
IT-05.01.04	Objetivos da qualidade e indicadores corrrelacionados		IT	Diretora Geral	16	15/05/26	15/05/29	Intranet RA-110	   
IT-05.01.05	Comunicação Institucional		IT	Especialista em Comunicação (Comunicação - DG)	2	16/10/24	16/10/27	Intranet RA-110	   
IT-06.01.01	Plano de investimentos		IT	RA	12	13/05/25	12/05/28	Intranet RA-110	   
IT-06.01.02	Conduta em caso de acidente e incidente		IT	Coordenador Time Segurança/Presidente Cipa	16	17/04/26	17/04/29	Área do aluno Extranet Intranet RA-110	   
