ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
FQ-07.65	Monitoramento de saída e retorno de material permanente (FQ-07.17)		FQ	RA	0	12/06/25	-	Intranet RA-25 RA-56	   
FQ-08.03	Pesquisa de satisfação de clientes		FQ	RA	16	05/06/24	-	Intranet RA-25 RA-56	   
FQ-08.03	Customer Satisfaction Survey		FQ	RA	16	05/06/24	-	Intranet RA-25 RA-56	   
FQ-08.04	Pesquisa clima organizacional - Funcionários (Acesso não liberado - entre em contato com Setor RA-DG)		FQ	RA	5	05/06/24	-	RA-25 RA-56	   
FQ-08.05	Programação de auditoria interna		FQ	RA	6	16/02/24	-	Intranet RA-25 RA-56	   
FQ-08.06	Lista de verificação de auditoria interna		FQ	RA	42	17/04/25	-	Intranet RA-25 RA-56	   
FQ-08.09	Informações sobre realização de produtos e serviços¹		FQ	RA	13	03/02/25	-	Intranet RA-25 RA-56	   
FQ-08.11	Receita - Recursos captados (FA e FED)		FQ	RA	8	01/08/22	-	Intranet RA-25 RA-56	   
FQ-08.12	Despesas Gesp e FA		FQ	RA	8	01/08/22	-	Intranet RA-25 RA-56	   
FQ-08.13	Recursos Gesp (despesas e captação)		FQ	RA	6	02/01/23	-	Intranet RA-25 RA-56	   
FQ-08.14	Controle de visitas		FQ	RA	9	18/02/25	-	Intranet RA-25 RA-56	   
FQ-08.14	Visitor control		FQ	RA	9	18/02/25	-	Intranet RA-25 RA-56	   
FQ-08.15	Análise financeira de evento		FQ	RA	11	02/02/26	-	Intranet RA-25 RA-56	   
FQ-08.16	Controle de estagiários		FQ	RA	13	06/01/25	-	Intranet RA-25 RA-56	   
FQ-08.17	Avaliação de auditoria interna		FQ	RA	5	23/02/26	-	Intranet RA-25 RA-56	   
FQ-08.18	Avaliação do estágio realizado		FQ	RA	4	03/02/25	-	Google Drive Intranet RA-25 RA-56	   
FQ-08.19	Execução de recursos de agências de fomento		FQ	RA	6	01/08/22	-	Intranet RA-25 RA-56	   
FQ-08.21	Relatório de auditoria interna		FQ	RA	5	16/02/24	-	Intranet RA-25 RA-56	   
FQ-08.23	Metas dos indicadores		FQ	RA	3	19/01/18	-	Intranet RA-25 RA-56	   
FQ-08.24	Análise de desempenho das Unidades - indicadores		FQ	RA	6	02/01/24	-	Intranet RA-25 RA-56	   
FQ-08.25	Relatório de Avaliação de Evento e Treinamento/curso fechado (Acesso não liberado - entre em contato com Setor RA-DG)		FQ	RA	7	31/01/24	-	RA-25 RA-56	   
FQ-08.26	Plano de ação		FQ	RA	0	17/02/14	-	Intranet RA-25 RA-56	   
